Genre,Publisher,Rating,Greatest_Sales
Role-Playing,Square Enix,?,JP
Action,Sony Computer Entertainment,?,NA
Platform,Sony Computer Entertainment,M,JP
Fighting,Midway Games,M,NA
Shooter,505 Games,M,Other
Sports,Global Star,E,NA
Adventure,Sony Computer Entertainment,M,Other
Simulation,Nintendo,E,JP
Sports,Ubisoft,E,EU
Misc,THQ,E,EU
Shooter,Electronic Arts,M,NA
Misc,Play It,E,NA
Platform,Sega,E10+,NA
Action,Ubisoft,M,EU
Platform,THQ,E,NA
Action,Disney Interactive Studios,?,NA
Action,Sony Computer Entertainment,T,Other
Action,Warner Bros. Interactive Entertainment,?,NA
Action,Activision,E10+,EU
Action,Konami Digital Entertainment,E,JP
Action,Capcom,?,JP
Action,Sega,M,JP
Sports,Disney Interactive Studios,?,NA
Role-Playing,Sony Computer Entertainment,?,JP
Shooter,Ubisoft,M,Other
Strategy,Electronic Arts,T,JP
Racing,Ubisoft,T,EU
Role-Playing,Electronic Arts,M,NA
Misc,Konami Digital Entertainment,?,NA
Sports,Electronic Arts,?,NA
Action,Koch Media,E,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Action,Warner Bros. Interactive Entertainment,E10+,EU
Racing,Sega,?,Other
Shooter,Nintendo,E10+,JP
Shooter,Capcom,T,JP
Action,Disney Interactive Studios,E10+,Other
Misc,Microsoft Game Studios,?,JP
Misc,Ubisoft,?,NA
Shooter,Sony Computer Entertainment,M,NA
Racing,Codemasters,?,EU
Action,Ubisoft,M,Other
Role-Playing,Sega,T,JP
Platform,THQ,E,NA
Misc,GT Interactive,?,NA
Action,Activision,E10+,Other
Action,Konami Digital Entertainment,M,EU
Action,Square Enix,M,EU
Shooter,THQ,?,NA
Role-Playing,Bethesda Softworks,M,EU
Sports,Electronic Arts,?,NA
Role-Playing,SquareSoft,?,JP
Fighting,Capcom,T,Other
Fighting,THQ,T,NA
Sports,Electronic Arts,E,NA
Action,Electronic Arts,M,NA
Sports,Activision,E10+,NA
Role-Playing,Sony Computer Entertainment,T,JP
Action,Ubisoft,M,NA
Sports,Sony Computer Entertainment,?,NA
Action,Take-Two Interactive,T,NA
Action,Ubisoft,T,NA
Sports,Sony Computer Entertainment,?,EU
Sports,Sony Computer Entertainment,E,NA
Sports,Electronic Arts,E,EU
Fighting,Namco Bandai Games,T,JP
Simulation,Electronic Arts,E10+,NA
Misc,Unknown,?,NA
Sports,Activision,T,NA
Shooter,Ubisoft,M,Other
Misc,Sony Computer Entertainment,T,EU
Racing,THQ,?,NA
Adventure,Nintendo,E,JP
Action,Parker Bros.,?,NA
Platform,Konami Digital Entertainment,?,JP
Platform,Activision,?,NA
Platform,Capcom,?,JP
Misc,Activision,T,EU
Misc,Activision,T,Other
Action,Sega,M,NA
Action,Konami Digital Entertainment,E,NA
Sports,Sony Computer Entertainment,E,NA
Simulation,Game Factory,E,NA
Shooter,Take-Two Interactive,M,EU
Racing,THQ,E,NA
Role-Playing,Ubisoft,M,Other
Role-Playing,Square Enix,E10+,JP
Sports,Sony Computer Entertainment,E,NA
Shooter,Codemasters,M,EU
Role-Playing,Level 5,?,JP
Action,Warner Bros. Interactive Entertainment,E10+,Other
Role-Playing,Ubisoft,M,NA
Misc,Activision,E10+,NA
Racing,Ubisoft,E,NA
Action,Ubisoft,M,EU
Action,Konami Digital Entertainment,E,EU
Simulation,Titus,E,EU
Sports,Electronic Arts,E,NA
Action,Electronic Arts,T,NA
Racing,THQ,E,NA
Misc,THQ,E,NA
Adventure,Capcom,T,JP
Shooter,Take-Two Interactive,M,Other
Action,Marvelous Entertainment,E,JP
Sports,Electronic Arts,?,NA
Action,Warner Bros. Interactive Entertainment,E10+,Other
Sports,Acclaim Entertainment,?,NA
Platform,Nintendo,?,JP
Fighting,Electronic Arts,?,NA
Sports,Sony Computer Entertainment,E,NA
Misc,Nintendo,E10+,JP
Action,THQ,E,Other
Action,Electronic Arts,M,NA
Sports,Electronic Arts,E,NA
Fighting,THQ,T,NA
Racing,Sega,E,NA
Racing,Empire Interactive,?,EU
Fighting,Sony Computer Entertainment,?,JP
Role-Playing,Microsoft Game Studios,T,JP
Action,Warner Bros. Interactive Entertainment,E10+,EU
Misc,Sony Computer Entertainment,?,EU
Sports,Take-Two Interactive,E,NA
Sports,Electronic Arts,E,EU
Action,Activision,E10+,NA
Sports,Electronic Arts,?,EU
Sports,Activision,T,EU
Fighting,Warner Bros. Interactive Entertainment,?,Other
Sports,Take-Two Interactive,E,NA
Sports,Electronic Arts,T,EU
Strategy,Ubisoft,T,NA
Adventure,Ubisoft,?,EU
Racing,Genki,E,JP
Role-Playing,Nintendo,T,JP
Platform,Hasbro Interactive,?,NA
Racing,Codemasters,E,EU
Action,Tecmo Koei,T,JP
Sports,Electronic Arts,E,EU
Misc,Namco Bandai Games,E,NA
Racing,Sega,E,NA
Sports,Bethesda Softworks,?,NA
Action,Namco Bandai Games,T,EU
Simulation,Hudson Soft,?,JP
Misc,Sega,E,NA
Shooter,Ubisoft,M,EU
Action,Warner Bros. Interactive Entertainment,E10+,EU
Shooter,Codemasters,M,Other
Sports,Electronic Arts,E,NA
Sports,Electronic Arts,E,EU
Role-Playing,Microsoft Game Studios,T,NA
Racing,ASCII Entertainment,?,JP
Sports,Sony Computer Entertainment,E,EU
Role-Playing,Activision,T,NA
Racing,Electronic Arts,E10+,NA
Action,Namco Bandai Games,M,NA
Shooter,Electronic Arts,M,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Shooter,THQ,M,Other
Racing,Psygnosis,?,NA
Action,Ubisoft,?,Other
Action,Disney Interactive Studios,E10+,EU
Action,989 Studios,?,NA
Racing,THQ,E,NA
Action,Activision,E10+,NA
Sports,Sony Computer Entertainment,E,JP
Action,Warner Bros. Interactive Entertainment,E10+,EU
Platform,Sega,E,EU
Sports,Electronic Arts,?,NA
Platform,Activision,T,NA
Shooter,Electronic Arts,T,NA
Shooter,Electronic Arts,M,NA
Misc,Activision,T,Other
Role-Playing,Activision,T,NA
Sports,Electronic Arts,E,NA
Sports,Electronic Arts,E,EU
Platform,Activision,E,NA
Sports,Midway Games,M,NA
Sports,THQ,E,NA
Platform,Konami Digital Entertainment,T,NA
Shooter,Sony Computer Entertainment,M,NA
Sports,Electronic Arts,E,NA
Racing,Disney Interactive Studios,?,EU
Adventure,Nintendo,E,JP
Puzzle,Midway Games,E,EU
Strategy,Nintendo,E,JP
Strategy,Nintendo,?,JP
Shooter,Sony Computer Entertainment,T,Other
Action,Warner Bros. Interactive Entertainment,E10+,Other
Shooter,Sony Computer Entertainment,M,Other
Action,THQ,E,NA
Simulation,Sony Computer Entertainment,T,JP
Sports,Sega,E,EU
Racing,Disney Interactive Studios,E,Other
Sports,Atari,?,JP
Shooter,Activision,T,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Adventure,Ubisoft,?,EU
Sports,Electronic Arts,E,NA
Sports,Sony Computer Entertainment,?,NA
Platform,Sony Computer Entertainment,?,NA
Sports,Electronic Arts,E,EU
Action,Activision,E10+,Other
Misc,Sony Computer Entertainment,?,EU
Role-Playing,SquareSoft,?,JP
Role-Playing,Nintendo,E,NA
Misc,Sony Computer Entertainment,?,EU
Action,Electronic Arts,E,NA
Misc,Nintendo,?,JP
Misc,Sega,E,EU
Action,Electronic Arts,T,Other
Platform,Capcom,?,NA
Shooter,Activision,M,EU
Action,Square Enix,T,EU
Racing,Codemasters,E,EU
Shooter,Ubisoft,M,Other
Action,Take-Two Interactive,E,EU
Fighting,Square Enix,T,JP
Misc,Sony Computer Entertainment,?,Other
Shooter,CTO SpA,?,NA
Action,"mixi, Inc",?,JP
Racing,Ubisoft,E,NA
Action,Capcom,M,JP
Role-Playing,Sega,E,NA
Action,LucasArts,T,NA
Action,Take-Two Interactive,M,EU
Misc,MTV Games,T,NA
Fighting,THQ,T,EU
Sports,Global Star,E,EU
Misc,Sony Computer Entertainment,?,Other
Simulation,Microsoft Game Studios,T,NA
Racing,Codemasters,E,EU
Sports,Electronic Arts,E,NA
Shooter,TalonSoft,T,NA
Platform,Crystal Dynamics,?,NA
Sports,ASCII Entertainment,?,JP
Shooter,Ubisoft,M,NA
Action,Square Enix ,M,EU
Role-Playing,Electronic Arts,M,NA
Strategy,Konami Digital Entertainment,?,Other
Racing,Infogrames,?,NA
Role-Playing,Square Enix,E10+,NA
Misc,Pinnacle,?,EU
Role-Playing,Sega,T,JP
Misc,Ubisoft,E10+,NA
Action,Sony Computer Entertainment,E,Other
Sports,Sony Computer Entertainment,?,NA
Sports,Activision,T,NA
Sports,Electronic Arts,?,NA
Racing,Codemasters,E,EU
Racing,Codemasters,E,EU
Shooter,THQ,M,NA
Fighting,Electronic Arts,T,NA
Shooter,SCi,T,EU
Simulation,505 Games,E,NA
Role-Playing,Square Enix,T,JP
Sports,Electronic Arts,E,EU
Shooter,Ubisoft,M,NA
Role-Playing,Crave Entertainment,T,JP
Action,Tecmo Koei,T,JP
Misc,Quelle,?,NA
Shooter,Electronic Arts,M,Other
Shooter,Electronic Arts,T,Other
Misc,Sony Computer Entertainment,T,EU
Misc,Disney Interactive Studios,E,NA
Role-Playing,Nintendo,T,JP
Action,Atari,E10+,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Shooter,Bethesda Softworks,?,NA
Sports,Sega,?,EU
Simulation,Nintendo,E10+,JP
Sports,Konami Digital Entertainment,E,EU
Fighting,Rage Software,T,EU
Misc,Nintendo,?,EU
Simulation,Focus Home Interactive,E,EU
Racing,Empire Interactive,E,NA
Sports,Electronic Arts,?,NA
Misc,Activision,T,NA
Sports,Sony Computer Entertainment,?,NA
Puzzle,Sony Computer Entertainment,E,Other
Action,Tecmo Koei,T,JP
Puzzle,THQ,E,NA
Action,3DO,?,NA
Sports,Electronic Arts,?,EU
Action,Eidos Interactive,T,EU
Sports,Electronic Arts,E,EU
Sports,Take-Two Interactive,E,NA
Fighting,Virgin Interactive,?,JP
Sports,Electronic Arts,E,NA
Action,Warner Bros. Interactive Entertainment,M,NA
Platform,Konami Digital Entertainment,?,JP
Role-Playing,Electronic Arts,M,Other
Action,GT Interactive,?,NA
Fighting,Atari,T,JP
Sports,Ubisoft,E10+,NA
Fighting,Namco Bandai Games,T,JP
Sports,Nintendo,E,JP
Action,Ubisoft Annecy,M,NA
Role-Playing,Namco Bandai Games,T,JP
Action,THQ,E,Other
Sports,Sony Computer Entertainment,?,NA
Racing,Acclaim Entertainment,E,EU
Fighting,Virgin Interactive,T,JP
Platform,Nintendo,E,JP
Sports,Electronic Arts,E,NA
Shooter,Sega,M,NA
Shooter,Electronic Arts,M,Other
Action,THQ,M,Other
Action,Bethesda Softworks,M,JP
Action,Activision,T,NA
Action,Sony Computer Entertainment,T,Other
Action,THQ,T,NA
Sports,Take-Two Interactive,E,NA
Simulation,Ubisoft,E,NA
Racing,Acclaim Entertainment,E,EU
Role-Playing,SquareSoft,?,JP
Sports,Electronic Arts,T,Other
Sports,THQ,?,NA
Racing,Empire Interactive,T,EU
Role-Playing,Sony Computer Entertainment,T,JP
Role-Playing,Namco Bandai Games,T,JP
Sports,Sega,E,EU
Sports,Electronic Arts,E,NA
Racing,Electronic Arts,E10+,NA
Action,Electronic Arts,E,EU
Shooter,505 Games,M,NA
Sports,Electronic Arts,E,NA
Adventure,Nintendo,E,NA
Action,D3Publisher,E10+,Other
Puzzle,Atari,?,NA
Simulation,Ubisoft,T,NA
Action,Sony Computer Entertainment,M,NA
Simulation,Sony Computer Entertainment,?,JP
Action,THQ,T,JP
Shooter,Namco Bandai Games,T,Other
Sports,Electronic Arts,E,NA
Shooter,Take-Two Interactive,M,NA
Action,Disney Interactive Studios,E,NA
Sports,Electronic Arts,?,JP
Sports,Electronic Arts,E,NA
Sports,Electronic Arts,E,Other
Shooter,Microsoft Game Studios,M,NA
Fighting,THQ,T,EU
Misc,Konami Digital Entertainment,?,JP
Misc,Hasbro,?,NA
Adventure,Capcom,?,JP
Platform,Sony Computer Entertainment,E10+,NA
Sports,Midway Games,E,EU
Racing,Electronic Arts,E10+,NA
Misc,Activision,T,NA
Misc,Microsoft Game Studios,M,NA
Fighting,Capcom,T,NA
Platform,Sony Computer Entertainment,?,NA
Adventure,Interplay,?,NA
Strategy,Take-Two Interactive,E10+,NA
Action,Electronic Arts,M,Other
Shooter,Activision,M,NA
Action,Warner Bros. Interactive Entertainment,?,NA
Shooter,Electronic Arts,T,NA
Sports,Activision,T,NA
Role-Playing,Activision,T,NA
Shooter,Midway Games,M,EU
Simulation,Rising Star Games,E,NA
Sports,Activision,T,Other
Sports,Electronic Arts,E,NA
Racing,Electronic Arts,E,NA
Fighting,Nintendo,?,NA
Puzzle,Nintendo,?,JP
Misc,Konami Digital Entertainment,T,NA
Puzzle,Scholastic Inc.,E,NA
Sports,Microsoft Game Studios,E,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Misc,Ubisoft,E,NA
Action,Mystique,?,NA
Shooter,Sony Computer Entertainment Europe,M,Other
Platform,THQ,E,EU
Action,Capcom,M,JP
Action,Square Enix,?,EU
Role-Playing,Atlus,M,JP
Action,Warner Bros. Interactive Entertainment,M,EU
Role-Playing,Enix Corporation,?,JP
Fighting,Midway Games,T,EU
Misc,Microsoft Game Studios,T,NA
Adventure,ChunSoft,?,JP
Simulation,Ubisoft,E,EU
Role-Playing,Namco Bandai Games,T,JP
Action,Sony Computer Entertainment,?,NA
Puzzle,Hudson Soft,?,JP
Racing,Electronic Arts,E,NA
Action,Nintendo,E,NA
Adventure,Sony Computer Entertainment,T,Other
Sports,Konami Digital Entertainment,?,JP
Role-Playing,Enix Corporation,T,JP
Fighting,Namco Bandai Games,T,JP
Sports,Ubisoft,T,NA
Misc,Sony Computer Entertainment,E,Other
Role-Playing,Square Enix,?,JP
Action,Konami Digital Entertainment,M,NA
Platform,Capcom,?,JP
Action,3DO,?,NA
Sports,Konami Digital Entertainment,E,EU
Shooter,Ubisoft,M,EU
Role-Playing,Square Enix,T,JP
Sports,Electronic Arts,E,NA
Role-Playing,Nintendo,?,JP
Misc,Activision,T,Other
Puzzle,Atari,?,NA
Strategy,Ubisoft,E,EU
Sports,Konami Digital Entertainment,?,JP
Role-Playing,Square Enix,T,EU
Simulation,Electronic Arts,T,NA
Misc,Sony Computer Entertainment,T,EU
Racing,Microsoft Game Studios,E10+,EU
Misc,Eidos Interactive,?,NA
Action,Sega,M,JP
Action,Disney Interactive Studios,E,NA
Simulation,LucasArts,T,NA
Racing,Electronic Arts,?,NA
Shooter,Eidos Interactive,M,EU
Puzzle,Level 5,T,JP
Action,Koch Media,E10+,NA
Role-Playing,Square EA,T,NA
Racing,Codemasters,T,EU
Sports,Hudson Soft,E,EU
Action,Ubisoft,M,NA
Sports,Take-Two Interactive,T,EU
Sports,Konami Digital Entertainment,E,JP
Misc,Activision,T,NA
Sports,Konami Digital Entertainment,E,EU
Sports,Electronic Arts,E,NA
Strategy,Banpresto,?,JP
Racing,Electronic Arts,E,NA
Sports,Konami Digital Entertainment,?,JP
Misc,Electronic Arts,E,NA
Sports,Electronic Arts,E,Other
Role-Playing,Namco Bandai Games,?,JP
Sports,Nintendo,?,JP
Misc,Ubisoft,E10+,NA
Simulation,Electronic Arts,T,Other
Action,20th Century Fox Video Games,?,NA
Fighting,Atari,T,NA
Racing,Electronic Arts,E10+,EU
Action,LucasArts,T,NA
Misc,Activision,T,Other
Racing,Sony Computer Entertainment,?,JP
Sports,Konami Digital Entertainment,E,JP
Shooter,City Interactive,M,Other
Role-Playing,Ubisoft,E,NA
Action,Capcom,M,JP
Sports,THQ,E,NA
Simulation,Hudson Entertainment,?,JP
Racing,Take-Two Interactive,E,NA
Sports,Take-Two Interactive,T,Other
Action,THQ,M,NA
Action,Activision,M,NA
Platform,Capcom,?,JP
Fighting,Electronic Arts,?,NA
Simulation,Konami Digital Entertainment,E10+,NA
Simulation,Ubisoft,T,JP
Role-Playing,Square Enix,?,JP
Action,Electronic Arts,M,NA
Role-Playing,Capcom,M,NA
Action,Activision,?,Other
Adventure,Virgin Interactive,T,EU
Sports,Nintendo,?,NA
Misc,Activision,E10+,NA
Sports,Electronic Arts,E,NA
Sports,Electronic Arts,E,EU
Simulation,Electronic Arts,E10+,Other
Role-Playing,Nintendo,E10+,JP
Role-Playing,Square Enix,T,JP
Role-Playing,Nintendo,?,JP
Strategy,Sony Computer Entertainment,E10+,EU
Role-Playing,Microsoft Game Studios,T,EU
Sports,Electronic Arts,E,Other
Shooter,Atari,?,NA
Action,Square Enix,?,JP
Platform,Vivendi Games,E,NA
Shooter,Infogrames,?,NA
Action,Ubisoft,M,NA
Misc,Sony Computer Entertainment,?,Other
Fighting,Namco Bandai Games,T,NA
Fighting,Electronic Arts,M,EU
Fighting,Capcom,?,NA
Action,Nintendo,M,JP
Action,Deep Silver,M,NA
Role-Playing,Square Enix,T,JP
Action,Sega,M,NA
Action,LucasArts,E10+,NA
Strategy,Electronic Arts,?,NA
Action,THQ,E,NA
Sports,Nintendo,?,JP
Strategy,Take-Two Interactive,E10+,NA
Sports,Take-Two Interactive,E,NA
Role-Playing,ChunSoft,?,JP
Puzzle,Atari,?,NA
Shooter,Electronic Arts,T,NA
Shooter,Activision,T,EU
Sports,Sony Computer Entertainment,?,NA
Platform,Ubisoft,E10+,EU
Shooter,Atari,?,NA
Shooter,Sega,M,EU
Misc,Microsoft Game Studios,T,EU
Racing,Electronic Arts,?,NA
Misc,Interplay,?,NA
Action,Men-A-Vision,?,NA
Racing,Electronic Arts,E,Other
Shooter,Microsoft Game Studios,M,NA
Fighting,Electronic Arts,T,NA
Fighting,Activision,?,NA
Racing,Electronic Arts,E,NA
Misc,Ubisoft,E10+,EU
Action,Ubisoft,?,EU
Action,Capcom,M,NA
Puzzle,Ubisoft,E,EU
Action,Warner Bros. Interactive Entertainment,E10+,NA
Strategy,THQ,E10+,Other
Sports,THQ,E,NA
Sports,Nintendo,E,JP
Action,Atari,?,NA
Platform,THQ,?,NA
Role-Playing,Enix Corporation,?,JP
Shooter,Sega,T,NA
Action,THQ,E,NA
Role-Playing,Namco Bandai Games,M,EU
Shooter,SCi,?,EU
Platform,Capcom,T,EU
Misc,Nintendo,?,JP
Platform,Nintendo,E,JP
Sports,Acclaim Entertainment,E,EU
Role-Playing,Atari,T,JP
Racing,Nintendo,E,JP
Fighting,Namco Bandai Games,T,JP
Action,Sony Computer Entertainment,T,NA
Role-Playing,Square Enix,?,Other
Adventure,Mojang,?,Other
Sports,Activision Value,T,EU
Platform,Sega,E10+,Other
Racing,Psygnosis,?,JP
Puzzle,Nintendo,E,JP
Sports,Electronic Arts,?,EU
Platform,Microsoft Game Studios,?,EU
Simulation,Nobilis,E,NA
Racing,Atari,M,EU
Action,LucasArts,?,NA
Adventure,Avanquest Software,?,NA
Fighting,Gotham Games,?,EU
Fighting,Virgin Interactive,?,JP
Sports,Konami Digital Entertainment,E,JP
Racing,Electronic Arts,T,Other
Misc,Activision,T,NA
Shooter,Nintendo,T,NA
Action,LucasArts,T,NA
Sports,Take-Two Interactive,E,Other
Action,Warner Bros. Interactive Entertainment,E10+,Other
Shooter,LucasArts,T,Other
Racing,Sega,?,EU
Sports,Activision,?,NA
Role-Playing,SquareSoft,?,JP
Misc,Namco Bandai Games,?,JP
Role-Playing,Capcom,?,JP
Role-Playing,Square Enix,?,Other
Shooter,Sony Computer Entertainment,M,EU
Sports,Electronic Arts,E,Other
Simulation,Electronic Arts,T,EU
Fighting,Midway Games,M,NA
Adventure,Disney Interactive Studios,E,NA
Action,Disney Interactive Studios,?,NA
Misc,Activision,T,NA
Fighting,Capcom,?,JP
Shooter,Valve Software,E10+,EU
Shooter,Take-Two Interactive,M,Other
Action,Activision,M,NA
Fighting,Acclaim Entertainment,T,EU
Shooter,Capcom,T,NA
Shooter,Eidos Interactive,?,EU
Role-Playing,SquareSoft,?,JP
Action,Electronic Arts,E10+,EU
Platform,THQ,E,Other
Puzzle,Nintendo,E10+,JP
Misc,Sega,?,NA
Platform,Capcom,E,JP
Action,Sony Computer Entertainment,T,Other
Sports,Take-Two Interactive,E,EU
Puzzle,THQ,E,EU
Action,Nintendo,E,JP
Fighting,THQ,T,Other
Sports,Konami Digital Entertainment,E,EU
Fighting,Namco Bandai Games,T,Other
Action,Disney Interactive Studios,?,EU
Action,Activision,E,EU
Racing,GT Interactive,?,NA
Shooter,Konami Digital Entertainment,M,JP
Fighting,Virgin Interactive,?,JP
Shooter,Eidos Interactive,?,Other
Sports,Big Ben Interactive,T,NA
Sports,Activision,T,NA
Misc,Nordic Games,?,EU
Sports,Electronic Arts,E,NA
Role-Playing,Electronic Arts,M,EU
Adventure,Ubisoft,E10+,EU
Fighting,Capcom,T,JP
Sports,Electronic Arts,E,NA
Action,Activision,M,Other
Role-Playing,Namco Bandai Games,T,NA
Action,Touchstone,M,NA
Shooter,Konami Digital Entertainment,T,Other
Action,Ubisoft,M,EU
Role-Playing,Square Enix,E10+,JP
Fighting,Nintendo,?,JP
Misc,Sony Computer Entertainment,?,EU
Action,Electronic Arts,T,Other
Misc,Activision,E10+,Other
Racing,Acclaim Entertainment,E,EU
Role-Playing,Disney Interactive Studios,E,NA
Shooter,Ubisoft,T,Other
Misc,Konami Digital Entertainment,?,JP
Action,Electronic Arts,M,NA
Racing,Electronic Arts,E,Other
Fighting,Midway Games,M,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Sports,Sega,E,EU
Sports,Sony Computer Entertainment,E,NA
Action,Capcom,M,JP
Racing,Take-Two Interactive,E10+,NA
Action,Electronic Arts,?,NA
Sports,Electronic Arts,E,EU
Shooter,THQ,M,Other
Action,Namco Bandai Games,T,JP
Racing,Sony Computer Entertainment,?,NA
Action,Activision,?,Other
Shooter,Atari,M,NA
Puzzle,Nintendo,?,JP
Action,Electronic Arts,M,EU
Role-Playing,Atari,T,JP
Simulation,Nintendo,E,JP
Misc,Ubisoft,E10+,EU
Misc,Atari,E,NA
Role-Playing,Nintendo,E,JP
Fighting,Atlus,T,JP
Role-Playing,Activision,T,NA
Role-Playing,Sega,T,JP
Action,Activision,E,NA
Action,Disney Interactive Studios,T,Other
Action,Activision,?,NA
Sports,Electronic Arts,?,JP
Fighting,Namco Bandai Games,?,JP
Adventure,Avanquest Software,?,NA
Sports,Electronic Arts,E,Other
Action,Take-Two Interactive,M,EU
Platform,Nintendo,E,JP
Simulation,Rising Star Games,E,NA
Racing,Disney Interactive Studios,?,Other
Puzzle,Nintendo,?,JP
Fighting,GT Interactive,?,NA
Fighting,THQ,T,NA
Platform,Fox Interactive,?,NA
Role-Playing,Square Enix,T,EU
Misc,Nintendo,?,JP
Platform,Atari,T,NA
Shooter,Atari,?,NA
Shooter,Bethesda Softworks,T,Other
Sports,Electronic Arts,E10+,NA
Sports,Electronic Arts,E,NA
Role-Playing,Nippon Ichi Software,M,JP
Shooter,Take-Two Interactive,M,NA
Misc,Nintendo,?,JP
Strategy,THQ,M,NA
Sports,Electronic Arts,E,NA
Puzzle,Namco Bandai Games,E,JP
Fighting,Namco Bandai Games,T,JP
Action,Atari,E,NA
Sports,Sony Computer Entertainment,E,NA
Sports,Codemasters,E,EU
Shooter,Electronic Arts,T,NA
Adventure,THQ,E,NA
Simulation,Rising Star Games,E,JP
Action,Ubisoft,E10+,NA
Misc,Electronic Arts,E,EU
Action,Activision,T,NA
Simulation,Ubisoft,E,EU
Action,Activision,E10+,NA
Action,Sony Computer Entertainment,?,NA
Strategy,Sega,T,EU
Action,Namco Bandai Games,?,JP
Strategy,Namco Bandai Games,?,JP
Platform,Ubisoft,E,EU
Adventure,Mojang,?,EU
Shooter,GT Interactive,?,NA
Sports,Sony Computer Entertainment America,E,NA
Sports,Electronic Arts,E,NA
Role-Playing,Square Enix,T,JP
Action,Activision,T,EU
Shooter,Electronic Arts,M,NA
Sports,Electronic Arts,E,NA
Racing,Atari,?,NA
Sports,Spike,E,NA
Strategy,Take-Two Interactive,M,EU
Action,Sega,?,JP
Fighting,Activision,T,NA
Platform,Nintendo,E,JP
Adventure,Activision,E,NA
Misc,Sony Computer Entertainment,?,EU
Platform,Atari,?,NA
Sports,Electronic Arts,E,NA
Sports,Sony Computer Entertainment,E,NA
Puzzle,Atari,E,NA
Racing,Codemasters,E,EU
Simulation,Namco Bandai Games,T,JP
Sports,Electronic Arts,E,NA
Racing,THQ,E,NA
Racing,Activision,E10+,EU
Action,Ubisoft,?,EU
Action,Eidos Interactive,?,NA
Shooter,Electronic Arts,M,EU
Racing,Codemasters,T,EU
Action,Electronic Arts,T,NA
Sports,Electronic Arts,E,NA
Sports,Electronic Arts,T,NA
Action,D3Publisher,E10+,Other
Fighting,Sega,T,EU
Shooter,Electronic Arts,M,EU
Simulation,Electronic Arts,E,NA
Action,Eidos Interactive,M,JP
Racing,Jester Interactive,E,EU
Fighting,Atari,T,NA
Racing,Acclaim Entertainment,E,NA
Adventure,Microsoft Game Studios,?,NA
Action,Konami Digital Entertainment,M,EU
Strategy,Konami Digital Entertainment,?,NA
Platform,Universal Interactive,E,NA
Action,THQ,E,NA
Action,THQ,E,EU
Sports,Electronic Arts,E,NA
Action,Nintendo,?,JP
Fighting,Acclaim Entertainment,?,NA
Racing,LEGO Media,?,NA
Role-Playing,Quest,?,JP
Sports,Electronic Arts,E,NA
Puzzle,Nintendo,?,JP
Fighting,Sony Computer Entertainment,?,JP
Shooter,Activision,M,EU
Action,Tecmo Koei,T,JP
Misc,Hasbro Interactive,?,NA
Shooter,Acclaim Entertainment,?,NA
Sports,Electronic Arts,E,NA
Shooter,Activision,M,NA
Sports,Electronic Arts,E,NA
Role-Playing,Square Enix,T,JP
Racing,Electronic Arts,?,EU
Role-Playing,SouthPeak Games,M,NA
Action,Ubisoft,M,EU
Sports,Activision,T,NA
Action,Activision,T,Other
Puzzle,Hudson Soft,?,JP
Sports,Electronic Arts,E,NA
Strategy,Virgin Interactive,?,NA
Action,Activision,T,NA
Adventure,Capcom,T,JP
Adventure,Deep Silver,M,JP
Shooter,Sony Computer Entertainment,T,EU
Sports,Electronic Arts,E,NA
Action,Majesco Entertainment,E,NA
Racing,Atari,E,EU
Sports,Electronic Arts,?,NA
Sports,Electronic Arts,E,EU
Role-Playing,Microsoft Game Studios,M,NA
Role-Playing,Square Enix,T,JP
Role-Playing,SquareSoft,?,JP
Action,Sony Computer Entertainment,T,Other
Sports,Electronic Arts,E10+,NA
Strategy,Nintendo,E,NA
Racing,Electronic Arts,E,EU
Sports,Electronic Arts,?,NA
Fighting,THQ,T,Other
Action,Illusion Softworks,M,EU
Adventure,Disney Interactive Studios,E,NA
Platform,Sony Computer Entertainment,E,NA
Sports,Sony Computer Entertainment,E,NA
Simulation,Namco Bandai Games,T,JP
Shooter,Eidos Interactive,T,EU
Simulation,Konami Digital Entertainment,T,NA
Racing,Ubisoft,T,EU
Shooter,Activision,T,EU
Adventure,Nintendo,E,JP
Role-Playing,Nintendo,?,JP
Platform,Disney Interactive Studios,E,NA
Action,Tigervision,?,NA
Misc,Ubisoft,E10+,EU
Racing,Electronic Arts,?,NA
Action,Konami Digital Entertainment,T,JP
Role-Playing,Nintendo,?,JP
Misc,Warner Bros. Interactive Entertainment,E10+,NA
Racing,Electronic Arts,E10+,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Shooter,Microsoft Game Studios,M,NA
Simulation,Electronic Arts,T,EU
Action,Midway Games,M,NA
Action,Electronic Arts,E,EU
Shooter,Activision,?,Other
Sports,Ubisoft,T,NA
Racing,THQ,E,NA
Misc,Nintendo,E,NA
Shooter,505 Games,M,EU
Platform,Namco Bandai Games,?,JP
Sports,Namco Bandai Games,?,JP
Fighting,Atari,T,NA
Sports,Sony Computer Entertainment,?,NA
Shooter,Electronic Arts,E10+,NA
