Genre,Publisher,Rating,Greatest_Sales
Action,Ubisoft,M,NA
Action,Eidos Interactive,T,EU
Sports,Electronic Arts,E,NA
Role-Playing,Square Enix,T,JP
Platform,Nintendo,?,JP
Puzzle,Nintendo,E,JP
Platform,Nintendo,?,JP
Action,Electronic Arts,E,EU
Role-Playing,Activision,M,EU
Platform,Nintendo,?,JP
Shooter,Electronic Arts,T,EU
Platform,Nintendo,?,JP
Simulation,Microsoft Game Studios,?,NA
Misc,RedOctane,T,NA
Role-Playing,Microsoft Game Studios,M,NA
Sports,Sega,?,EU
Action,Capcom,M,JP
Action,Nintendo,E,JP
Sports,Electronic Arts,E,EU
Platform,Nintendo,?,NA
Action,Sony Computer Entertainment,?,Other
Action,Virgin Interactive,M,JP
Action,Take-Two Interactive,M,Other
Sports,Activision,T,NA
Strategy,Eidos Interactive,?,NA
Platform,Sony Computer Entertainment,?,NA
Misc,Activision,T,Other
Shooter,Nintendo,T,NA
Role-Playing,Bethesda Softworks,M,NA
Role-Playing,Nintendo,?,JP
Fighting,Nintendo,?,JP
Action,Sony Computer Entertainment,T,Other
Sports,Electronic Arts,E,NA
Racing,Nintendo,?,JP
Role-Playing,Capcom,?,JP
Strategy,Activision,T,NA
Puzzle,Nintendo,?,JP
Adventure,Ubisoft,M,Other
Action,Sony Computer Entertainment,M,NA
Action,Sony Computer Entertainment,T,Other
Racing,Sony Computer Entertainment,E,NA
Action,LucasArts,E,NA
Action,Atari,T,EU
Action,Warner Bros. Interactive Entertainment,T,NA
Racing,Vivendi Games,?,EU
Sports,Activision,T,NA
Action,Electronic Arts,T,EU
Action,Eidos Interactive,T,EU
Simulation,Nintendo,E,JP
Action,Nintendo,E,JP
Misc,Sony Computer Entertainment Europe,?,EU
Shooter,Microsoft Game Studios,T,NA
Action,Nintendo,?,JP
Action,Nintendo,E,JP
Misc,Activision,T,NA
Racing,Microsoft Game Studios,E,EU
Shooter,Nintendo,E10+,JP
Sports,Sega,?,EU
Sports,Electronic Arts,E,NA
Misc,Activision,T,NA
Action,Nintendo,?,JP
Platform,Activision,?,NA
Sports,Electronic Arts,E,NA
Action,Activision,E,NA
Platform,Nintendo,E,JP
